"","FreshMass","DryMass","WaterContent","LeafArea","Perimeter","AspectRatio","Circularity","Solidity","LMA","LaminaThickness","LaminaDensity","LaminaToughness","ChlorophyllContent._SPAD","ChlorophyllContent_areabasis","ChlorophyllContent_massbasis","TrichomeDensity","AshContent","TotalPhenolics","TotalFlavonoids"
"PPN_199",1.9,0.235522538321271,7.65997048181536,74.14,45.46,1.39,0.44,0.82,31.7431193736985,0.38,0.0892488886803092,28.43,42.5,503.27,14.3918797820439,500,14.03,1.65,2.16
"PPN_200",2.16,0.327189159541509,5.24437128302575,64.54,45.67,1.59,0.38,0.82,51.0165014312113,0.37,0.137270177459158,27.57,38.67,432.65,8.93894138745646,684,12.4,2.28,2.08
"PPN_201",1.9,0.248096489287996,6.83412953148626,65.97,43.25,1.54,0.44,0.84,37.6343138480887,0.35,0.111458640983824,23.23,37.3,406.61,11.4787351462734,441.33,13.95,1.77,1.93
"PPN_202",0.99,-0.0159317051129373,12.1201856389024,81.04,47.61,1.46,0.45,0.83,-11.4327791677873,0.28,0.00762632208711074,17.85,33.9,350.58,20.8152250869602,548,30.8,1.29,1.21
"PPN_203",2.63,0.356823369561945,6.10759745271267,80.11,47.84,1.49,0.45,0.85,44.7912955206894,0.38,0.121235389692447,27.7,41.5,483.11,11.03382525953,468,13.2,2.97,2.77
"PPN_204",1.57,0.228847752736008,6.12843142146018,54.88,41.48,1.47,0.4,0.83,42.2312356141032,0.35,0.123573976100271,30.1,42.87,510.6,12.1707848724276,505.33,12.95,1.54,2.14
"PPN_205",1.21,0.106634077272182,8.87223578142542,68.42,43.16,1.3,0.45,0.82,15.7687178676738,0.28,0.0771243647709533,16.63,36.27,393.33,15.8271810175257,257.33,15.55,1.57,1.9
"PPN_206",0.74,0.110189526382055,7.62706043612593,62.02,42.09,1.37,0.44,0.84,22.0978337246567,0.38,0.0638783569064276,26.58,38.18,423,14.467298161421,514,9.4,1.32,2.12
"PPN_207",3.07,0.421932343748752,5.84412737640378,79.64,50.82,1.33,0.37,0.77,55.2743221619261,0.37,0.150525885784514,31.57,44.1,534.2,10.202468150722,500,12.8,2.12,2.26
"PPN_208",1.83,0.278556186158169,4.52828716674306,42.71,34.58,1.38,0.45,0.84,56.371094769,0.35,0.157921395633995,26.2,41.2,478.85,8.5634939857426,498.67,14.8,2.82,2.4
"PPN_209",2.35,0.330721395403857,5.71017148946537,71.96,44.34,1.43,0.47,0.9,45.5295519149848,0.34,0.133667926220054,27.43,39.07,438.95,10.0448903618886,346,14.5,2.08,2.01
"PPN_210",1.26,0.185278863389557,6.44567073452293,57.59,41.52,1.55,0.42,0.84,34.2589264631587,0.32,0.111987249680491,30,35.93,383.69,10.8369088567109,462.67,13.83,2.54,2.65
"PPN_211",2.06,0.201506086260121,8.81327834317474,75.55,46.56,1.63,0.44,0.84,23.4839885924824,0.35,0.0758057133602094,16.23,39.63,448.27,15.9364537694508,592,18.77,1.25,1.7
"PPN_212",2.09,0.301772883112748,6.03323589259087,69.83,49.98,1.57,0.39,0.82,42.0272868160444,0.32,0.12960249044393,24.67,41.13,477.46,11.802742671186,566.67,11,2.27,2.18
"PPN_213",1.82,0.25909369458385,6.59596008531336,71.17,46.3,1.35,0.41,0.8,38.2907603216722,0.41,0.0949026402337126,26.33,43.9,530.07,13.4787480759133,573.33,11.77,2.32,2.12
"PPN_214",1.25,0.208969381171421,5.43404570769717,41.9,35.6,1.45,0.42,0.84,48.002594755096,0.41,0.121138495339079,35.58,41.88,490.43,10.2343191743037,600,13.3,1.51,2.18
"PPN_215",1.31,0.157579779244769,6.93893511613889,59.59,41.12,1.53,0.43,0.84,28.2023742873604,0.28,0.107207525833528,20.9,36.23,389.42,12.5108423045899,629.33,14.67,3.06,3.14
