"","X1.2","X3.3","X3.52","X3.77","X4.05","X4.21","X4.42","X4.55","X4.6","X4.87","X4.98","X5.28","X5.53","X5.89","X6.37","X7.1","X7.28","X7.47","X7.58","X7.71","X7.83","X7.93","X8.11","X8.21","X8.3","X8.38","X8.51","X8.69","X8.81","X8.89","X11.64","X11.78"
"PPN_275",2.303926945,30.56607628,3.096028805,10.82205009,213.4721375,22.47855377,7.545458794,6.687986138,3.784789324,31.59593391,20.98189545,13.28616714,8.759768486,8.219499588,12.67529678,791.6153564,53.58266068,28.21506882,11.87404633,16.98001862,24.4727726,15.96425629,19.23084259,18.78880882,13.96723652,8.375769854,7.605875492,4.512849331,4.927078724,5.341308117,1.472890019,3.119668484
"PPN_276",NA,36.30001068,2.154462099,11.52764988,352.1596069,18.46007156,7.949816227,12.61667347,7.951177597,18.47661781,22.38223839,12.75508499,13.82214451,6.215497971,NA,1247.757813,70.98442841,23.91203642,12.93070889,20.20649338,25.35693932,15.50038433,18.80974007,21.1966362,15.67017126,10.14370632,NA,4.806901455,5.607338429,7.154595852,2.07042861,3.879409313
"PPN_277",2.784987688,76.43318176,5.260079861,30.18723869,1200.896484,114.5293121,20.70859718,28.14091587,14.96968651,52.13860321,51.80227661,30.54842567,20.03956413,18.91667557,41.44480133,1746.198975,124.8931351,54.5655346,22.60961533,30.58823013,67.32941437,NA,18.34428978,22.46751022,15.27772903,7.792150974,7.496354103,7.401114464,NA,14.72008133,NA,2.383808374
"PPN_279",1.725918293,18.78236771,2.400209188,8.074843407,188.4007111,28.56961632,13.09773922,12.83929253,6.97787714,20.6396389,32.11881256,16.10141373,11.67300987,7.76024437,16.29157829,373.0832214,41.02643204,19.90884066,11.26646519,15.25912666,16.28754234,14.46591568,16.00312424,NA,14.07110786,10.81024647,NA,4.964381218,1.962983727,3.678098202,1.615292668,3.025554419
"PPN_280",1.884266257,35.62508774,3.333675861,14.38921833,457.5105591,18.05128098,9.899086952,18.51946068,8.096552849,19.67776871,28.5899601,18.95373344,15.24523544,9.067091942,14.08677101,1174.754272,82.51424408,22.04200936,12.4777565,16.86133194,19.39061356,12.1387701,12.66129303,NA,28.15089417,NA,10.79666424,NA,4.279602528,3.712992907,1.37032795,3.018113613
"PPN_281",2.321329832,21.24898529,2.982964277,15.03805542,388.9205627,14.85957241,7.463942528,12.55346012,5.476831913,21.24807167,21.5122242,11.4911499,8.040614128,5.394972801,8.980861664,817.6480103,53.43510056,14.00879288,9.353713989,15.87817192,14.96691227,8.791642189,9.020162582,NA,11.80764198,NA,NA,NA,NA,1.034736633,NA,2.389715195
"PPN_037",2.773783922,56.22731018,NA,27.6186142,845.8010254,80.21915436,12.7304945,24.26613426,10.31566525,34.40012741,30.74442291,23.49300957,17.0219593,16.52407646,28.14476776,1894.711548,94.94968414,50.80683041,18.65445518,34.37925339,38.7064476,20.38612175,12.70184326,15.91060257,21.79326248,11.25711536,NA,3.268630266,5.936606408,7.779271126,NA,2.735138893
"PPN_206",5.009413242,60.17792892,6.869811058,18.84188271,591.4137573,59.03545761,11.95590115,37.40377426,NA,15.55804634,28.15925026,17.50303459,12.38959122,10.35727692,NA,1302.481201,113.5142365,32.23702335,14.37077522,18.8349514,24.51060677,12.64566135,NA,14.25856686,19.08786392,9.551749229,NA,2.996189117,4.690153241,6.319718361,1.991517663,4.159294128
"PPN_214",3.838163853,48.0700531,4.512871742,21.5170002,869.9343872,59.37795639,11.89013863,25.76657867,10.66560555,17.905159,35.1444664,22.57327652,17.89772034,14.32520866,NA,1667.214478,88.31051636,94.22735499,19.48719597,29.26029587,33.00587082,20.7808857,NA,23.46821213,30.40185165,20.81405115,NA,6.57592392,7.063151954,5.974695383,1.057626367,4.346261024
"PPN_224",3.606892347,74.42219543,6.245281696,25.97969627,930.6767578,121.7865753,15.38392639,28.90857506,10.75224495,38.73945999,43.3827095,30.53131485,15.06877518,10.28317929,NA,1856.35791,96.32305145,67.70324994,23.08505058,38.87919617,37.62459183,31.91732025,NA,39.36067963,33.67555237,NA,14.49587917,11.58038378,NA,14.97140408,1.702512503,4.09834671
"PPN_236",5.214168072,59.90481567,6.146100521,20.9282074,700.3721924,68.15650177,17.02292252,26.2733326,10.68674946,41.42024231,32.21493149,21.57654572,19.34238052,12.66725254,NA,1827.56604,102.1238098,51.58030892,19.33932114,26.35255814,39.57172012,20.58634186,NA,18.90376472,23.01716805,14.82178283,12.80348587,3.431184292,5.935926915,4.440566182,NA,2.508693218
"PPN_278",0.943153381,45.2112999,4.596427917,18.08213615,523.3684692,46.62341309,10.55049133,14.73171711,10.75333214,27.00414085,29.00597572,19.84041977,20.52321434,11.22601891,NA,1226.09436,78.8169632,63.83201599,16.41129303,29.83471298,33.9221611,23.65110588,10.07505226,NA,37.2779007,26.37267733,13.78676224,5.45512867,8.848979949,10.87871456,1.434841752,3.345119715
"PPN_282",1.121244192,12.34067535,NA,7.679213524,116.1399765,13.47596073,6.355524063,6.582344055,2.678296089,13.63232231,18.97252655,11.76144409,6.930907726,5.949504375,NA,279.9280396,23.57117081,14.50143671,11.15466404,12.97493744,14.72280693,13.31120872,NA,16.66322708,13.99867153,10.70366716,7.382184744,NA,3.6762079,4.588632584,1.247956157,3.389154673
