Line_PPN,CORE12,FreshMass,DryMass,WaterContent,LeafArea,Perimeter,AspectRatio,Circularity,Solidity,LMA,LaminaThickness,LaminaDensity,LaminaToughness,ChlorophyllContent _SPAD,ChlorophyllContent_areabasis,ChlorophyllContent_massbasis,TrichomeDensity,AshContent,TotalPhenolics,TotalFlavonoids,LES_PC1
PPN_105,NON-CORE,1.69,0.24,6.21,62.51,41.37,1.6,0.46,0.85,37.43,0.38,0.1,30.77,43.53,524.48,14.02,406.67,12.53,1.49,1.99,-0.966640849
PPN_106,NON-CORE,1.73,0.22,6.79,51.3,37.62,1.55,0.45,0.82,42.65,0.29,0.15,29.43,54.5,767.41,18.06,394.67,12.4,1.23,2.03,-1.22454588
PPN_107,NON-CORE,3.56,0.46,6.71,96.23,52.17,1.59,0.45,0.84,48.49,0.49,0.1,32.33,45.97,572.8,11.99,469.33,11.7,1.22,2,0.235876215
PPN_108,NON-CORE,2.32,0.26,7.88,62.27,40.36,1.45,0.48,0.83,41.33,0.4,0.1,28,46.8,590.96,14.37,536,15,0.98,1.77,-1.859694887
PPN_109,NON-CORE,1.06,0.12,8.11,42.3,31.47,1.54,0.54,0.89,27.45,0.31,0.09,16.43,39.2,440.99,16.25,502.67,17.23,1.07,1.64,-4.515570191
PPN_110,NON-CORE,1.94,0.21,8.01,55.66,36.52,1.43,0.52,0.88,38.5,0.43,0.09,23.67,43.63,525.19,13.69,322.67,15.5,0.88,1.48,-2.445625311
PPN_111,NON-CORE,1.41,0.17,7.22,52.28,35.28,1.89,0.52,0.9,33.03,0.31,0.12,19.63,42.23,499.06,15.18,421.33,14.7,0.94,1.88,-2.88847852
PPN_112,NON-CORE,1.81,0.19,8.74,56.35,36.02,1.63,0.55,0.91,33.33,0.41,0.08,18.57,40.57,465.46,14.18,449.33,16.1,0.74,1.47,-3.695670113
PPN_113,NON-CORE,3.89,0.4,8.78,140.3,56.94,1.41,0.54,0.9,28.39,0.28,0.1,18.7,38,418.85,14.75,376,17.3,1.24,1.46,-4.301006572
PPN_114,NON-CORE,2.44,0.32,6.71,73.78,41.94,1.36,0.53,0.89,43.27,0.38,0.12,23.77,41.17,478.77,11.09,382.67,12.9,1.47,1.45,-0.789868824
PPN_115,NON-CORE,2.61,0.39,5.79,79.13,51.5,1.42,0.37,0.78,48.81,0.37,0.13,31.43,46.2,577.73,11.93,386.67,11.23,1.17,1.47,0.639867129
PPN_116,NON-CORE,2.18,0.26,7.45,70.32,46.36,1.28,0.41,0.81,36.13,0.38,0.1,24.1,41.83,489.57,13.58,513.33,13.43,1.32,1.62,-2.103862876
PPN_117,NON-CORE,2.43,0.34,6.25,84.33,55.51,1.16,0.35,0.82,39.55,0.33,0.12,25.33,40.9,471.8,12.14,586.67,12.63,1.74,2.05,-0.925009807
PPN_118,NON-CORE,1.88,0.29,5.64,50.24,35.76,1.32,0.49,0.85,56.86,0.44,0.13,30.7,51.4,693.06,12.35,610,14,1.39,1.73,0.805515165
PPN_119,NON-CORE,1.57,0.2,7.02,52.78,37.93,1.36,0.46,0.86,37.14,0.33,0.11,24.23,52.1,712.32,19.15,477.33,16.3,1.08,1.89,-3.026576071
PPN_120,NON-CORE,3.02,0.4,6.61,98.96,56.93,1.38,0.39,0.84,39.96,0.4,0.1,25.9,39.17,440.53,11.15,546.67,13.53,1.23,1.72,-1.045108507
PPN_121,NON-CORE,2.45,0.33,6.41,77.34,50.1,1.38,0.4,0.82,42.88,0.35,0.12,26.23,42.53,503,11.84,416,13.57,1.02,1.9,-0.744730098
PPN_122,NON-CORE,2.51,0.32,6.87,79.23,47.93,1.38,0.43,0.84,40.29,0.28,0.15,27.77,38.83,434.67,10.79,449.33,13.8,1.51,2.09,-0.666445904
PPN_123,NON-CORE,1.95,0.27,6.59,63.89,43.19,1.33,0.44,0.83,40.75,0.37,0.11,29.67,44.17,536.42,13.35,397.33,13.9,1.33,2.03,-1.034396367
PPN_124,NON-CORE,2.17,0.21,9.53,84.35,47.89,1.34,0.46,0.81,24.74,0.41,0.06,16.65,37.6,412.48,16.77,406,16.5,1.29,1.8,-5.274926898
PPN_125,NON-CORE,2.58,0.38,6.06,90.37,54.52,1.28,0.38,0.82,41.15,0.37,0.11,29.23,44.53,543.56,13.73,464,11.7,1.57,1.53,-0.619003113
PPN_126,NON-CORE,2.37,0.32,6.59,87.33,47.49,1.29,0.48,0.87,35.93,0.34,0.11,24.47,42.93,510.92,14.29,400,14.57,1.27,1.33,-2.04375339
PPN_127,NON-CORE,2.8,0.41,5.91,94.24,54.68,1.26,0.39,0.81,44.04,0.37,0.12,34.33,39.43,445.62,10.28,496,8.87,1.59,1.78,0.979317904
PPN_128,NON-CORE,2.24,0.34,5.58,81.7,48.74,1.42,0.43,0.86,39.87,0.47,0.09,35.3,42.65,505.59,12.07,550,10.9,2.12,2.66,0.330435964
PPN_129,NON-CORE,1.64,0.17,8.74,56.97,40.16,1.42,0.44,0.84,29.58,0.29,0.1,21.7,36.7,396.26,13.4,668,17.7,0.76,0.6,-3.802876516
PPN_130,NON-CORE,2.59,0.41,5.46,73.96,51.47,1.42,0.36,0.78,57.43,0.39,0.14,30.13,39.27,445.45,8.58,626,9,2.54,1.86,2.11681508
PPN_131,NON-CORE,3.29,0.49,5.76,107.14,56.53,1.16,0.43,0.84,45.45,0.39,0.12,34,39.93,453.7,10.02,392,9.3,1.86,2.08,1.072528639
PPN_132,NON-CORE,2.13,0.25,7.34,71.18,48.17,1.25,0.38,0.83,36.05,0.4,0.09,28.1,39.13,440.19,12.26,484,17.17,0.9,1.48,-2.092337537
PPN_133,NON-CORE,2.13,0.32,5.82,73.38,47.49,1.41,0.41,0.84,42.6,0.4,0.11,27.77,43.1,516.12,12.19,442.67,11.83,1.45,2.15,-0.274086358
PPN_134,NON-CORE,2.68,0.39,6.25,79.75,51.16,1.4,0.38,0.78,47.09,0.42,0.11,26.7,40.37,461.82,9.96,404,11.73,1.37,1.89,0.17806594
PPN_135,NON-CORE,1.64,0.25,5.7,58.03,40.27,1.41,0.45,0.85,43.08,0.3,0.14,31.23,41.67,486.54,11.48,444,13.07,1.5,1.65,0.183820147
PPN_136,NON-CORE,2.42,0.28,7.64,75.62,49.19,1.53,0.39,0.79,37.01,0.33,0.12,22.67,47.17,598.59,16.17,516,14.73,1.15,1.68,-2.62392935
PPN_137,NON-CORE,2.71,0.36,6.51,85.14,50.74,1.35,0.42,0.84,42.71,0.32,0.13,27,42.6,505.71,11.98,514.67,13.43,2.6,1.9,-0.661017777
PPN_138,NON-CORE,2.06,0.23,7.97,64.29,42.68,1.35,0.44,0.86,36.05,0.45,0.08,24.1,43.8,528.32,14.71,384,16.6,0.84,1.76,-2.865461196
PPN_139,NON-CORE,0.91,0.1,8.32,33.43,29.9,1.41,0.47,0.82,29.14,0.26,0.12,16.5,42.6,504.29,17.33,272,,,,-4.490480173
PPN_140,NON-CORE,1.67,0.26,5.49,53.3,40.1,1.24,0.42,0.84,48.51,0.42,0.11,32.47,44.13,535.45,11.17,326.67,12.97,1.78,1.75,0.628669657
PPN_141,NON-CORE,2.61,0.38,5.92,83.71,53.61,1.29,0.37,0.8,45.03,0.4,0.12,27.57,41.4,482.4,10.7,532,10.43,1.62,1.73,0.266324863
